Timestep,a_0,a_1,b
5,-80.11217066804436,-29.929172586773106,1.2995643352764993e11
5,-87.00000000000007,-37.16364861420074,1.2999146451682613e11
5,-30.458236162075814,-33.42688048965897,1.2986709736337308e11
5,-76.9103789488761,-35.56589995162205,1.2997433531477927e11
5,-66.55606155941283,-36.98056270831621,1.2997039941605159e11
5,-81.1461645847509,-34.22401193122432,1.2998485343817044e11
5,-87.00000000000007,-33.51438425932561,1.2998665116327153e11
5,-74.87124383121214,-35.15050161254723,1.2998108576584177e11
5,-84.14392056342501,-40.021536816003255,1.3000602304590282e11
5,-87.00000000000009,-36.60672350257622,1.2999973464726366e11
5,-85.78492114839365,-36.731429736683324,1.29999498607258e11
5,-86.6464487350946,-37.737081091871225,1.3000305823383298e11
5,-82.36310606855953,-34.97928586747193,1.2999159577821565e11
5,-87.0000000000001,-41.21913375571476,1.3001277895483804e11
5,-87.00000000000007,-40.51077564280868,1.3001598039819601e11
5,-60.87689493151917,-48.2427687174915,1.299903901564074e11
5,-63.6447062134364,-32.9189181576741,1.2995690429395947e11
5,-82.55937999444899,-37.37952680671132,1.3000332017468295e11
5,-74.39432307087769,-42.77195835071346,1.3001101282123857e11
5,-85.3094628010657,-41.723762567052994,1.3002063471827065e11
5,-87.00000000000007,-43.19550575574054,1.3002626063122754e11
5,-87.00000000000007,-44.33624387876342,1.3002999881562866e11
5,-86.99999820006572,-41.08703506917967,1.3002198011653261e11
5,-72.47801585589295,-40.435846267901475,1.3000527624998886e11
5,-87.0000000000001,-34.688438983391016,1.3000050222472472e11
6,-150.0,-150.0,1.0682053286288712e11
6,0.0,0.0,9.976965126691566e10
6,-5.818997836315838,0.0,1.1978938922269106e11
6,-102.67012216756358,-127.10317940652563,1.2036389373922173e11
6,-16.1588942249598,0.0,1.2587342241566647e11
6,-87.00000000000007,-65.07495458173624,1.2596204076429659e11
6,-87.00000000000007,-121.15846314511069,1.2666447150682738e11
6,-87.00000000000007,-58.655038664629274,1.2632515702860625e11
6,-87.0000000000001,-26.756547362507554,1.273989508051869e11
6,-86.55040156698504,-26.75765394837339,1.273986230395769e11
6,-77.35455769092371,-26.756547362507554,1.2758945765192206e11
6,-86.3378255019544,-35.184387952626416,1.2761022515836185e11
6,-87.00000000000007,-26.970678380895734,1.2765005967926894e11
6,-16.160581077819653,-50.45396518557935,1.2763045036148543e11
6,-57.617845089210604,-38.291433889137,1.2767891824921994e11
6,-86.84850121536344,-50.45396518557934,1.2776245391455507e11
6,-30.682592829211494,-23.774055893818055,1.2784582018820042e11
6,-87.00000000000007,-23.77405589381805,1.2790349277970958e11
6,-61.76137548025742,-23.866397805069877,1.2789402980394022e11
6,-68.88426121111505,-23.855440889984127,1.2789933882416936e11
6,-86.29268916430972,-71.25929564324704,1.280383281395886e11
6,-86.99962850778775,-46.591246855620604,1.2798885601320053e11
6,-59.3121431933761,-30.791289486139256,1.2807275587195334e11
6,-87.00000000000007,-30.791289486139256,1.2809303595959389e11
6,-70.08565564217452,-30.791289486139256,1.2808568410174208e11
6,-86.84850121536344,-30.791289486139252,1.2809383152490848e11
6,-80.32385533718873,-30.791289486139252,1.2809292924320483e11
6,-84.6563728175137,-30.791289486139252,1.2809427039294785e11
6,-86.84850121536344,-30.791289486139252,1.2809510211319632e11
6,-81.36421185252912,-30.791289486139252,1.280942983079639e11
6,-87.00000000000007,-30.791289486139252,1.2809553249326588e11
