Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
110,2.2909999282716825e6,4.541856814413291e6,0.0,0.0,0.0,0.0
111,2.2935534282716825e6,4.5410630360801965e6,0.0,0.0,0.0,0.0
112,2.2961069282716825e6,4.5402692577471025e6,0.0,0.0,0.0,0.0
113,2.292740588271682e6,4.541016307666203e6,0.0,0.0,0.0,0.0
114,2.2893742482716823e6,4.5417633575853035e6,0.0,0.0,0.0,0.0
115,2.2839569082716824e6,4.545084241739761e6,0.0,0.0,0.0,0.0
116,2.278539568271682e6,4.548405125894218e6,0.0,0.0,0.0,0.0
117,2.271792728271682e6,4.551204546644209e6,0.0,0.0,0.0,0.0
118,2.265045888271682e6,4.554003967394201e6,0.0,0.0,0.0,0.0
119,2.266799388271682e6,4.553652285859423e6,0.0,0.0,0.0,0.0
120,2.268552888271682e6,4.5533006043246435e6,0.0,0.0,0.0,0.0
121,2.269601388271682e6,4.54861228182574e6,0.0,0.0,0.0,0.0
122,2.270649888271682e6,4.543923959326836e6,0.0,0.0,0.0,0.0
123,2.271531388271682e6,4.53785788214931e6,0.0,0.0,0.0,0.0
124,2.272412888271682e6,4.531791804971783e6,0.0,0.0,0.0,0.0
125,2.273395388271682e6,4.526542955816951e6,0.0,0.0,0.0,0.0
126,2.274377888271682e6,4.521294106662117e6,0.0,0.0,0.0,0.0
127,2.269745548271682e6,4.520127057259477e6,0.0,0.0,0.0,0.0
128,2.265113208271682e6,4.518960007856837e6,0.0,0.0,0.0,0.0
129,2.2601173682716815e6,4.519809986343287e6,0.0,0.0,0.0,0.0
130,2.2551215282716816e6,4.520659964829737e6,0.0,0.0,0.0,0.0
131,2.2585235282716816e6,4.520898572428194e6,0.0,0.0,0.0,0.0
132,2.2619255282716816e6,4.52113718002665e6,0.0,0.0,0.0,0.0
133,2.2610390905351453e6,4.519200026523719e6,0.0,0.0,0.0,0.0
134,2.2601526527986084e6,4.517262873020786e6,0.0,0.0,0.0,0.0
135,2.2585866897975174e6,4.514398122308483e6,0.0,0.0,0.0,0.0
136,2.2570207267964263e6,4.511533371596182e6,0.0,0.0,0.0,0.0
137,2.2614622267964263e6,4.510924368643029e6,0.0,0.0,0.0,0.0
138,2.2659037267964263e6,4.510315365689876e6,0.0,0.0,0.0,0.0
139,2.260674886796426e6,4.510948946164247e6,0.0,0.0,0.0,0.0
140,2.255446046796426e6,4.511582526638619e6,0.0,0.0,0.0,0.0
141,2.2482262067964263e6,4.510729843402523e6,0.0,0.0,0.0,0.0
142,2.241006366796426e6,4.509877160166427e6,0.0,0.0,0.0,0.0
143,2.242984366796426e6,4.505722082052588e6,0.0,0.0,0.0,0.0
144,2.244962366796426e6,4.501567003938749e6,0.0,0.0,0.0,0.0
145,2.246225866796426e6,4.495453182787212e6,0.0,0.0,0.0,0.0
146,2.247489366796426e6,4.489339361635674e6,0.0,0.0,0.0,0.0
147,2.248319866796426e6,4.483174076200461e6,0.0,0.0,0.0,0.0
148,2.249150366796426e6,4.477008790765248e6,0.0,0.0,0.0,0.0
149,2.250568366796426e6,4.471200035006097e6,0.0,0.0,0.0,0.0
150,2.251986366796426e6,4.465391279246945e6,0.0,0.0,0.0,0.0
151,2.257145366796426e6,4.462762148146648e6,0.0,0.0,0.0,0.0
152,2.262304366796426e6,4.460133017046352e6,0.0,0.0,0.0,0.0
153,2.267851366796426e6,4.459576718480095e6,0.0,0.0,0.0,0.0
154,2.273398366796426e6,4.459020419913838e6,0.0,0.0,0.0,0.0
155,2.278519866796426e6,4.457534663983379e6,0.0,0.0,0.0,0.0
156,2.283641366796426e6,4.45604890805292e6,0.0,0.0,0.0,0.0
157,2.286476866796426e6,4.453103550631247e6,0.0,0.0,0.0,0.0
158,2.289312366796426e6,4.4501581932095755e6,0.0,0.0,0.0,0.0
159,2.291030366796426e6,4.446148827224214e6,0.0,0.0,0.0,0.0
160,2.292748366796426e6,4.442139461238853e6,0.0,0.0,0.0,0.0
161,2.296008366796426e6,4.440701449282406e6,0.0,0.0,0.0,0.0
162,2.299268366796426e6,4.439263437325959e6,0.0,0.0,0.0,0.0
