Timestep,Import_FR_MW,Import_PT_MW
410,-2800.0,-2955.202129654279
411,-2800.0,-2955.202129654279
412,-2800.0,-2066.4743554125453
413,-2800.0,-2066.4743554125453
414,-2800.0,-2306.861387639293
415,-2800.0,-2306.861387639293
416,-2800.0,-1025.9847482869282
417,-2800.0,-1025.9847482869282
418,-2800.0,-3813.8709915105005
419,-2800.0,-3813.8709915105005
420,-2800.0,-3682.4422300660003
421,-2800.0,-3682.4422300660003
422,-2800.0,-4198.9295220525
423,-2800.0,-4198.9295220525
424,-2800.0,-2662.5133531484994
425,-2800.0,-2662.5133531484994
426,-2800.0,-4200.0
427,-2800.0,-4200.0
428,-2800.0,-1215.5107692299998
429,-2800.0,-1215.5107692299998
430,-2800.0,-926.5179433844996
431,-2800.0,-926.5179433844996
432,-2800.0,-378.1862872849997
433,-2800.0,-378.1862872849997
434,-2800.0,68.18644329093513
435,-2800.0,68.18644329093513
436,-2800.0,-3421.1419236294996
437,-2800.0,-3421.1419236294996
438,-2800.0,-3521.9261830617497
439,-2800.0,-3521.9261830617497
440,-2800.0,-2585.5784759074995
441,-2800.0,-2585.5784759074995
442,-2800.0,-3683.2543336440012
443,-2800.0,-3683.2543336440012
444,-2800.0,-4200.0
445,-2800.0,-4200.0
446,-2800.0,-2904.3594387110934
447,-2800.0,-2904.3594387110934
448,-2800.0,-3162.407579689254
449,-2800.0,-3162.407579689254
450,-2800.0,-2493.5201237440824
451,-2800.0,-2493.5201237440824
452,-2800.0,-2131.974619919365
453,-2800.0,-2131.974619919365
454,-2800.0,-1116.968100046999
455,-2800.0,-1116.968100046999
456,-2800.0,-1116.2749369893718
457,-2800.0,-1116.2749369893718
458,-2800.0,-875.422744146249
459,-2800.0,-875.422744146249
460,-2800.0,-988.75478807125
461,-2800.0,-988.75478807125
462,-2800.0,-1929.6527481742505
463,-2800.0,-1929.6527481742505
464,-2800.0,-3639.246552123
465,-2800.0,-3639.246552123
466,-2800.0,-3536.0385597487502
467,-2800.0,-3536.0385597487502
468,-2800.0,-4200.0
469,-2800.0,-4200.0
470,-2800.0,-4200.0
471,-2800.0,-4200.0
472,-2800.0,-4200.0
473,-2800.0,-4200.0
474,-2800.0,-1949.2961057561115
475,-2800.0,-1949.2961057561115
476,-2800.0,-1132.6918910017498
477,-2800.0,-1132.6918910017498
478,-2800.0,-2010.5754438758595
479,-2800.0,-2010.5754438758595
480,-2800.0,-4200.0
481,-2800.0,-4200.0
482,-2800.0,-3810.5154359109993
483,-2800.0,-3810.5154359109993
484,-2800.0,-3840.238092446
485,-2800.0,-3840.238092446
486,-2800.0,-4200.0
487,-2800.0,-4200.0
488,-2800.0,-934.1985328580795
489,-2800.0,-934.1985328580795
490,-2800.0,-4200.0
491,-2800.0,-4200.0
492,-2800.0,-4200.0
493,-2800.0,-4200.0
494,-2800.0,-4200.0
495,-2800.0,-4200.0
496,-2800.0,-4200.0
497,-2800.0,-4200.0
498,-2800.0,1610.5264380524968
499,-2800.0,1610.5264380524968
500,-2800.0,-4200.0
501,-2800.0,-4200.0
502,-2800.0,-3853.0892967345
503,-2800.0,-3853.0892967345
504,-2800.0,1747.1834227935833
505,-2800.0,1747.1834227935833
506,-2800.0,-1387.9949919343326
507,-2800.0,-1387.9949919343326
508,-2800.0,-3013.7569168392506
509,-2800.0,-3013.7569168392506
510,-2800.0,-2847.955326607525
511,-2800.0,-2847.955326607525
512,-2800.0,-146.00785962733426
