Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
522,6940.97,8787.34,70364.3
523,6940.97,8787.34,70364.3
524,6940.97,8787.34,70364.3
525,6940.97,8787.34,70364.3
526,6940.97,8787.34,70364.3
527,6940.97,8787.34,70364.3
528,6940.97,0.0,65349.4797718568
529,6940.97,0.0,65349.4797718568
530,6940.97,0.0,54015.2236104005
531,6940.97,0.0,54015.2236104005
532,6940.97,0.0,56416.794530598534
533,6940.97,0.0,56416.794530598534
534,6940.97,4851.447302874061,70364.3
535,6940.97,4851.447302874061,70364.3
536,6940.97,8787.34,70364.3
537,6940.97,8787.34,70364.3
538,6940.97,8787.34,70364.3
539,6940.97,8787.34,70364.3
540,457.58219268844914,7729.112450794613,70364.3
541,457.58219268844914,7729.112450794613,70364.3
542,1491.8294350361612,6598.129400457377,70364.3
543,1491.8294350361612,6598.129400457377,70364.3
544,6940.97,8787.34,70364.3
545,6940.97,8787.34,70364.3
546,6940.97,8787.34,70364.3
547,6940.97,8787.34,70364.3
548,6940.97,8787.34,70364.3
549,6940.97,8787.34,70364.3
550,6940.97,8787.34,70364.3
551,6940.97,8787.34,70364.3
552,6940.97,0.0,62232.592260790116
553,6940.97,0.0,62232.592260790116
554,6940.97,0.0,53689.805786158635
555,6940.97,0.0,53689.805786158635
556,6940.97,8787.34,70364.3
557,6940.97,8787.34,70364.3
558,6940.97,8787.34,70364.3
559,6940.97,8787.34,70364.3
560,6940.97,8787.34,70364.3
561,6940.97,8787.34,70364.3
562,6940.97,8787.34,70364.3
563,6940.97,8787.34,70364.3
564,3054.4737296867024,8787.34,70364.3
565,3054.4737296867024,8787.34,70364.3
566,3643.0722284889525,8787.34,70364.3
567,3643.0722284889525,8787.34,70364.3
568,6940.97,8787.34,70364.3
569,6940.97,8787.34,70364.3
570,6940.97,8787.34,70364.3
571,6940.97,8787.34,70364.3
572,6940.97,8787.34,70364.3
573,6940.97,8787.34,70364.3
574,6940.97,8787.34,70364.3
575,6940.97,8787.34,70364.3
576,6940.97,0.0,55238.47917169864
577,6940.97,0.0,55238.47917169864
578,6940.97,0.0,52727.12834371121
579,6940.97,0.0,52727.12834371121
580,6940.97,8787.34,70364.3
581,6940.97,8787.34,70364.3
582,6940.97,8787.34,70364.3
583,6940.97,8787.34,70364.3
584,6940.97,8787.34,70364.3
585,6940.97,8787.34,70364.3
586,5855.304146024668,8787.34,70364.3
587,5855.304146024668,8787.34,70364.3
588,0.0,8787.34,70364.3
589,0.0,8787.34,70364.3
590,0.0,8787.34,70364.3
591,0.0,8787.34,70364.3
592,5922.486066119702,8787.34,70364.3
593,5922.486066119702,8787.34,70364.3
594,6940.97,8787.34,70364.3
595,6940.97,8787.34,70364.3
596,6940.97,8787.34,70364.3
597,6940.97,8787.34,70364.3
598,6940.97,8787.34,70364.3
599,6940.97,8787.34,70364.3
600,6940.97,0.0,65657.00588412932
601,6940.97,0.0,65657.00588412932
602,6940.97,0.0,48317.95057845473
603,6940.97,0.0,48317.95057845473
604,6940.97,0.0,68688.78655423199
605,6940.97,0.0,68688.78655423199
606,6940.97,8787.34,70364.3
607,6940.97,8787.34,70364.3
